transaction_id,customer_id,product_id,purchase_date,product_name,email,phone_number
1,42,84,2025-06-19,Ceiling Fan - Premium,aadhya.nair@example.com,9025501427
2,55,83,2025-05-24,Stapler Pack,ishaan.nair@example.com,9768045202
3,87,214,2025-06-12,Scissors (Combo),myra.chatterjee@example.com,9779426304
4,15,169,2025-06-25,Memory Card XL,riya.nair@example.com,9101612239
5,78,179,2025-05-23,Broom (Combo),myra.nair@example.com,9319718430
6,11,22,2025-07-04,Whiteboard (Combo),aarohi.pandey@example.com,9089009514
7,79,234,2025-04-19,Power Bank Set,saanvi.bhatt@example.com,9684649805
8,76,61,2025-05-29,Lotion Set,aarohi.mehta@example.com,9199110111
9,74,187,2025-07-08,Earphones - New,aanya.bhatt@example.com,9423221343
10,14,28,2025-04-24,Washing Machine - Premium,navya.reddy@example.com,9680175077
11,71,61,2025-06-24,Lotion Set,pari.reddy@example.com,9416768670
12,32,69,2025-05-02,Pillow Pack,aanya.bhatt@example.com,9829651775
13,56,70,2025-04-23,Water Bottle Set,anvi.naik@example.com,9915169130
14,88,2,2025-07-06,Laptop Stand - New,riya.verma@example.com,9086280286
15,45,37,2025-05-23,Bluetooth Speaker (Combo),ishita.mehta@example.com,9398613942
16,31,57,2025-07-07,Gas Lighter - Premium,myra.deshmukh@example.com,9870583151
17,80,202,2025-05-22,Mouse (Combo),diya.deshmukh@example.com,9586907011
18,64,157,2025-04-18,Mixer Grinder Pack,aarav.pandey@example.com,9306203044
19,64,215,2025-06-19,Wall Clock XL,aarav.pandey@example.com,9306203044
20,35,224,2025-05-11,Refrigerator Pack,pihu.pandey@example.com,9656947420
21,37,183,2025-05-06,Trash Bags,navya.sharma@example.com,9998835531
22,19,196,2025-07-12,Spoon Set Pack,anvi.sharma@example.com,9687122912
23,30,190,2025-04-23,Razor Pack,pihu.yadav@example.com,9205107555
24,50,113,2025-06-24,Dustbin - Premium,ishita.naik@example.com,9772454687
25,86,102,2025-04-26,Mobile Charger Pack,meera.reddy@example.com,9945196338
26,46,31,2025-07-05,Water Bottle,ayaan.mehta@example.com,9758512344
27,19,203,2025-06-15,Laundry Bag - New,anvi.sharma@example.com,9687122912
28,13,26,2025-07-05,Washing Machine (Combo),tanvi.sharma@example.com,9889040040
29,99,234,2025-04-20,Power Bank Set,arjun.chatterjee@example.com,9299110199
30,93,1,2025-05-12,Marker Pen - New,kavya.dixit@example.com,9877341291
31,97,239,2025-07-12,Mobile Charger - New,aarav.choudhary@example.com,9191767034
32,29,230,2025-07-05,Raincoat,anaya.choudhary@example.com,9608561711
33,95,130,2025-06-22,Thermos,ayaan.naik@example.com,9961056843
34,74,230,2025-06-03,Raincoat,aanya.bhatt@example.com,9423221343
35,27,202,2025-06-09,Mouse (Combo),krishna.sharma@example.com,9847710509
36,84,212,2025-05-08,Microwave (Combo),myra.kapoor@example.com,9243794422
37,88,203,2025-05-19,Laundry Bag - New,riya.verma@example.com,9086280286
38,55,49,2025-05-22,USB Cable (Combo),ishaan.nair@example.com,9768045202
39,67,220,2025-06-01,Frying Pan - New,pihu.nair@example.com,9622049855
40,94,80,2025-05-13,Thermos (Combo),ishaan.nair@example.com,9871294438
41,51,135,2025-06-14,Mouthwash Pack,aditya.patel@example.com,9228906217
42,46,10,2025-05-16,Water Bottle - New,ayaan.mehta@example.com,9758512344
43,83,18,2025-05-08,Stapler - Premium,nitya.naik@example.com,9880107086
44,97,161,2025-05-06,Mosquito Repellent,aarav.choudhary@example.com,9191767034
45,32,110,2025-07-02,Ruler Set,aanya.bhatt@example.com,9829651775
46,66,63,2025-06-24,Thermos Pack,aditya.kapoor@example.com,9972852218
47,87,155,2025-05-11,Shaving Cream XL,myra.chatterjee@example.com,9779426304
48,49,186,2025-05-18,Eraser (Combo),myra.reddy@example.com,9616742240
49,44,175,2025-05-30,Refrigerator XL,ira.mehta@example.com,9301634576
50,38,66,2025-04-19,Mug,aarohi.kapoor@example.com,9314312392
51,1,77,2025-05-24,Extension Board Pack,ishaan.chatterjee@example.com,9268756272
52,93,221,2025-07-02,Tawa Pack,kavya.dixit@example.com,9877341291
53,82,11,2025-06-03,Table Fan,anvi.kapoor@example.com,9145708507
54,68,207,2025-05-29,Printer Ink (Combo),aditya.nair@example.com,9854495246
55,32,193,2025-06-25,Pencil Set,aanya.bhatt@example.com,9829651775
56,83,107,2025-05-18,Microwave Set,nitya.naik@example.com,9880107086
57,92,144,2025-06-19,Microwave - Premium,vivaan.agarwal@example.com,9575415411
58,15,108,2025-04-18,Laptop Stand Set,riya.nair@example.com,9101612239
59,70,111,2025-04-27,Blanket Pack,ira.chatterjee@example.com,9865753090
60,71,125,2025-04-27,Blanket Set,pari.reddy@example.com,9416768670
61,73,163,2025-05-02,Razor - New,ira.pandey@example.com,9253595709
62,48,36,2025-05-18,Blanket - New,tanvi.joshi@example.com,9272404934
63,18,64,2025-06-17,Tissue Box - Premium,ira.chatterjee@example.com,9311759889
64,92,1,2025-06-04,Marker Pen - New,vivaan.agarwal@example.com,9575415411
65,40,122,2025-05-06,Soap - Premium,aanya.mishra@example.com,9308914773
66,14,227,2025-04-20,Wall Clock - Premium,navya.reddy@example.com,9680175077
67,91,141,2025-05-28,Toothpaste Set,diya.bhatt@example.com,9569573794
68,17,153,2025-07-05,Hair Oil - New,riya.pandey@example.com,9467501656
69,44,180,2025-05-09,Bucket - New,ira.mehta@example.com,9301634576
70,19,83,2025-06-02,Stapler Pack,anvi.sharma@example.com,9687122912
71,9,114,2025-06-02,Trash Bags XL,pihu.nair@example.com,9825970012
72,15,142,2025-06-22,Paper Clips Pack,riya.nair@example.com,9101612239
73,35,235,2025-05-18,Chalk XL,pihu.pandey@example.com,9656947420
74,100,39,2025-06-15,Wall Clock Pack,ishita.pandey@example.com,9140829094
75,31,98,2025-05-24,Highlighter,myra.deshmukh@example.com,9870583151
76,35,22,2025-06-14,Whiteboard (Combo),pihu.pandey@example.com,9656947420
77,8,72,2025-05-11,Pencil (Combo),pari.pandey@example.com,9854841162
78,1,208,2025-05-02,Highlighter Pack,ishaan.chatterjee@example.com,9268756272
79,80,108,2025-07-07,Laptop Stand Set,diya.deshmukh@example.com,9586907011
80,54,204,2025-04-20,Sticky Notes (Combo),kavya.sharma@example.com,9746670574
81,39,69,2025-07-11,Pillow Pack,sai.mehta@example.com,9685269123
82,80,234,2025-05-11,Power Bank Set,diya.deshmukh@example.com,9586907011
83,92,106,2025-04-22,Dish Wash - New,vivaan.agarwal@example.com,9575415411
84,74,173,2025-05-04,Desk Organizer (Combo),aanya.bhatt@example.com,9423221343
85,5,225,2025-06-26,Blanket XL,pari.nair@example.com,9332447447
86,7,153,2025-05-10,Hair Oil - New,ishita.bhatt@example.com,9408084863
87,19,89,2025-06-23,Room Freshener XL,anvi.sharma@example.com,9687122912
88,29,51,2025-04-19,Glue Stick - New,anaya.choudhary@example.com,9608561711
89,40,140,2025-04-20,Memory Card Pack,aanya.mishra@example.com,9308914773
90,24,56,2025-04-22,Mosquito Repellent - New,reyansh.mishra@example.com,9426154874
91,50,234,2025-06-14,Power Bank Set,ishita.naik@example.com,9772454687
92,73,57,2025-05-26,Gas Lighter - Premium,ira.pandey@example.com,9253595709
93,94,36,2025-05-22,Blanket - New,ishaan.nair@example.com,9871294438
94,84,239,2025-05-18,Mobile Charger - New,myra.kapoor@example.com,9243794422
95,99,113,2025-07-10,Dustbin - Premium,arjun.chatterjee@example.com,9299110199
96,48,223,2025-07-07,Sticky Notes,tanvi.joshi@example.com,9272404934
97,56,209,2025-04-25,Iron - Premium,anvi.naik@example.com,9915169130
98,45,78,2025-06-21,Memory Card (Combo),ishita.mehta@example.com,9398613942
99,82,25,2025-05-23,Shampoo - Premium,anvi.kapoor@example.com,9145708507
100,96,57,2025-07-11,Gas Lighter - Premium,meera.bhatt@example.com,9705946928
101,53,244,2025-06-08,Gas Lighter,aanya.joshi@example.com,9788856192
102,87,224,2025-06-15,Refrigerator Pack,myra.chatterjee@example.com,9779426304
103,48,121,2025-05-23,Earphones Pack,tanvi.joshi@example.com,9272404934
104,14,154,2025-07-06,Tissue Box - New,navya.reddy@example.com,9680175077
105,83,2,2025-07-11,Laptop Stand - New,nitya.naik@example.com,9880107086
106,17,121,2025-05-07,Earphones Pack,riya.pandey@example.com,9467501656
107,67,28,2025-04-24,Washing Machine - Premium,pihu.nair@example.com,9622049855
108,50,4,2025-07-12,Room Freshener - Premium,ishita.naik@example.com,9772454687
109,8,150,2025-05-31,Mattress Pack,pari.pandey@example.com,9854841162
110,53,14,2025-06-05,Nail Cutter,aanya.joshi@example.com,9788856192
111,65,25,2025-04-22,Shampoo - Premium,sai.dixit@example.com,9081174351
112,71,26,2025-05-09,Washing Machine (Combo),pari.reddy@example.com,9416768670
113,95,193,2025-04-24,Pencil Set,ayaan.naik@example.com,9961056843
114,61,228,2025-06-01,Eraser,nitya.chatterjee@example.com,9643450279
115,95,77,2025-05-26,Extension Board Pack,ayaan.naik@example.com,9961056843
116,47,10,2025-06-30,Water Bottle - New,krishna.mehta@example.com,9812569374
